loan_id,property_type,region,origination_date,maturity_date,rate_type,interest_rate_pct,original_loan_amount,current_balance,appraised_value,net_operating_income,occupancy_pct,ltv,dscr,debt_yield,interest_coverage,covenant_status,delinquency_status,watchlist_rating,defaulted
L0001,Multifamily,Southwest,2019-04-06,2024-04-04,Fixed,5.29,13387946.0,12304292.0,13592429.0,941200.0,93.5,0.9052,1.26,0.0765,1.45,Compliant,Current,High Risk,0
L0002,Mixed-Use,Midwest,2020-10-08,2023-10-08,Fixed,6.08,15339288.0,14375560.0,16276839.0,1272823.0,80.5,0.8832,1.27,0.0885,1.46,Compliant,Current,High Risk,0
L0003,Industrial,West,2022-08-23,2027-08-22,Fixed,7.24,14729945.0,14135743.0,19516140.0,1266006.0,100.0,0.7243,1.08,0.0896,1.24,Compliant,Current,Watch,0
L0004,Retail,Northeast,2020-05-16,2027-05-15,Fixed,6.06,14821143.0,13819315.0,22279416.0,1335506.0,88.6,0.6203,1.39,0.0966,1.59,Compliant,Current,Pass,0
L0005,Office,West,2020-08-10,2030-08-08,Floating,5.91,18373197.0,17183218.0,16652455.0,1186771.0,67.7,1.0319,1.02,0.0691,1.17,Breached,Current,High Risk,0
L0006,Office,Northeast,2023-06-02,2030-05-31,Fixed,6.33,13674740.0,13250336.0,16197717.0,1111189.0,88.5,0.818,1.15,0.0839,1.32,Compliant,Current,Watch,0
L0007,Office,Southeast,2019-10-30,2029-10-27,Floating,6.5,25696862.0,23791774.0,33201860.0,2100501.0,66.6,0.7166,1.18,0.0883,1.36,Compliant,Current,Watch,0
L0008,Hospitality,Northeast,2021-07-06,2028-07-04,Fixed,4.96,7914863.0,7488111.0,7367798.0,511068.0,75.2,1.0163,1.2,0.0683,1.38,Compliant,Current,High Risk,0
L0009,Retail,Southwest,2019-12-04,2022-12-03,Floating,5.36,13193838.0,12230868.0,19196207.0,1181558.0,98.9,0.6372,1.57,0.0966,1.8,Compliant,Current,Pass,0
L0010,Industrial,Midwest,2021-04-17,2026-04-16,Fixed,4.99,6766489.0,6383858.0,9043016.0,544630.0,85.1,0.7059,1.49,0.0853,1.71,Compliant,Current,Pass,0
